clip_id,filename,duration_s,resolution,fps,codec,pix_fmt,file_size_mb,short_lt_5s,long_gt_15s,below_vjepa2_min,portrait
IMG_1061_w1,IMG_1061_w1.mov,4.285,1080x1920,59.98,h264,yuvj420p,8.7,TRUE,FALSE,FALSE,TRUE
IMG_1061_w2,IMG_1061_w2.mov,4.285,1080x1920,59.98,h264,yuvj420p,9.1,TRUE,FALSE,FALSE,TRUE
IMG_1108_w1,IMG_1108_w1.mov,4.994,2160x3840,59.97,h264,yuvj420p,23.3,TRUE,FALSE,FALSE,TRUE
IMG_1108_w2,IMG_1108_w2.mov,4.994,2160x3840,59.97,h264,yuvj420p,25.6,TRUE,FALSE,FALSE,TRUE
IMG_1130_w1,IMG_1130_w1.mov,5.269,2160x3840,59.97,h264,yuvj420p,24.7,FALSE,FALSE,FALSE,TRUE
IMG_1130_w2,IMG_1130_w2.mov,5.269,2160x3840,59.97,h264,yuvj420p,26.3,FALSE,FALSE,FALSE,TRUE
IMG_1156_w1,IMG_1156_w1.mov,6.119,2160x3840,59.98,h264,yuvj420p,28.6,FALSE,FALSE,FALSE,TRUE
IMG_1156_w2,IMG_1156_w2.mov,6.119,2160x3840,59.98,h264,yuvj420p,29.4,FALSE,FALSE,FALSE,TRUE
IMG_1047_w1,IMG_1047_w1.mov,6.186,1080x1920,59.97,h264,yuvj420p,12.4,FALSE,FALSE,FALSE,TRUE
IMG_1047_w2,IMG_1047_w2.mov,6.186,1080x1920,59.97,h264,yuvj420p,12.6,FALSE,FALSE,FALSE,TRUE
IMG_1154_w1,IMG_1154_w1.mov,6.495,2160x3840,59.97,h264,yuvj420p,30.2,FALSE,FALSE,FALSE,TRUE
IMG_1154_w2,IMG_1154_w2.mov,6.495,2160x3840,59.97,h264,yuvj420p,32.8,FALSE,FALSE,FALSE,TRUE
IMG_1072_w1,IMG_1072_w1.mov,6.529,1080x1920,59.97,h264,yuvj420p,13.3,FALSE,FALSE,FALSE,TRUE
IMG_1072_w2,IMG_1072_w2.mov,6.529,1080x1920,59.97,h264,yuvj420p,13.2,FALSE,FALSE,FALSE,TRUE
IMG_1101_w1,IMG_1101_w1.mov,6.720,2160x3840,59.97,h264,yuvj420p,31.7,FALSE,FALSE,FALSE,TRUE
IMG_1101_w2,IMG_1101_w2.mov,6.720,2160x3840,59.97,h264,yuvj420p,32.6,FALSE,FALSE,FALSE,TRUE
IMG_1123_w1,IMG_1123_w1.mov,6.928,2160x3840,59.97,h264,yuvj420p,32.4,FALSE,FALSE,FALSE,TRUE
IMG_1123_w2,IMG_1123_w2.mov,6.928,2160x3840,59.97,h264,yuvj420p,34.5,FALSE,FALSE,FALSE,TRUE
IMG_1155_w1,IMG_1155_w1.mov,7.020,2160x3840,59.97,h264,yuvj420p,33.0,FALSE,FALSE,FALSE,TRUE
